model,fold,target,AUC,AP,LogLoss,pos_valid,n_valid
Gradient Boosting,3,target_2,0.878393665158371,0.5180478639240507,0.03126661252619384,4,446
Gradient Boosting,3,target_3,0.623887587822014,0.1779842016326687,0.520159644830703,61,446
Gradient Boosting,3,target_4,0.7686681557394999,0.4221591432217153,0.40038239187515184,59,446
AdaBoost,3,target_1,0.6411442006269592,0.35700866718849517,0.6816932766465645,116,446
AdaBoost,3,target_2,0.7771493212669683,0.07485277880014723,0.3264821830981551,4,446
AdaBoost,3,target_3,0.6123908878007237,0.18744914453223874,0.6829198796514648,61,446
AdaBoost,3,target_4,0.690448035737748,0.32316048521239493,0.6740787778862073,59,446
Decision Tree,3,target_1,0.5896290491118078,0.3073408748260399,5.018190570375318,116,446
Decision Tree,3,target_2,0.47850678733031676,0.008968609865470852,0.7124600130781242,4,446
Decision Tree,3,target_3,0.5660421545667447,0.15957509372932444,3.934013811343255,61,446
Decision Tree,3,target_4,0.6359435904173784,0.19230174318520327,3.5622960653892664,59,446
K-Nearest Neighbors,3,target_1,0.57816091954023,0.3223409235682464,1.4371958842380577,116,446
K-Nearest Neighbors,3,target_2,0.7313348416289592,0.27531763826606875,0.07862405356358615,4,446
K-Nearest Neighbors,3,target_3,0.5711517990206515,0.15741654319784495,0.9478272253454567,61,446
K-Nearest Neighbors,3,target_4,0.6262427188718084,0.2912521332182435,0.9648153758445676,59,446
Support Vector Machine,3,target_1,0.684299895506792,0.38960373071857946,0.5420105657376997,116,446
Support Vector Machine,3,target_2,0.8721719457013575,0.6115676359039192,0.039403337485296994,4,446
Support Vector Machine,3,target_3,0.6454332552693208,0.25347080667550137,0.38535210276550885,61,446
Support Vector Machine,3,target_4,0.791573599614593,0.47871946343763944,0.3198452455488998,59,446
LDA,3,target_1,0.6874869383490073,0.3782983937901281,0.627096594541383,116,446
LDA,3,target_2,0.9666289592760181,0.35119047619047616,0.09380714127418202,4,446
LDA,3,target_3,0.6643389397487758,0.23465309373996254,0.46754817116721126,61,446
LDA,3,target_4,0.7997197039372836,0.4358732661676349,0.4293194155562184,59,446
MLP (Neural Network),3,target_1,0.6751306165099268,0.3728758202573081,0.8981353489261372,116,446
MLP (Neural Network),3,target_2,0.9213800904977376,0.21614583333333331,0.04351872128474495,4,446
MLP (Neural Network),3,target_3,0.637044922290824,0.23278978583155094,0.5664890377837052,61,446
MLP (Neural Network),3,target_4,0.7836902728506986,0.4389293607757727,0.4265413468865563,59,446
Logistic Regression,4,target_1,0.6927890928393818,0.44701609895514915,0.7629633990237668,123,414
Logistic Regression,4,target_2,0.8088019559902201,0.32706666027699244,0.2969641416263235,5,414
Logistic Regression,4,target_3,0.6910919540229885,0.2771501407087054,0.8755595278871197,66,414
