target,AUC_mean,AP_mean,LL_mean,pos_valid,n_valid
target_1,0.6953844412422019,0.41390772425213596,0.639640914572398,556,2127
target_2,0.7728476538739535,0.34497288888012667,0.535864931357058,33,2127
target_3,0.6839636494447418,0.2279858189040464,0.6465398755437657,276,2127
target_4,0.7570067248356619,0.3788641636196922,0.5745934179770642,237,2127
MACRO,0.7273006173491398,0.34143264891400027,0.5991597848625715,1102,8508
