target,AUC_mean,AUC_std,AP_mean,AP_std,LL_mean,LL_std,pos_valid,n_valid
target_1,0.6595529149468762,0.026954983329105925,0.4009374596465104,0.05089067165542612,0.6349553371282782,0.017071853624291877,556,2127
target_2,0.7477170600326731,0.09993712570460576,0.3376951133438123,0.21051374001488463,0.27904188591248497,0.02256673343767306,33,2127
target_3,0.6448063172380538,0.008978898108442856,0.21419366046881155,0.04733999482387099,0.6115074484824988,0.014667049752072295,276,2127
target_4,0.7388691540533389,0.0338821487187841,0.33799222705783805,0.06958724032928877,0.5252940250464272,0.023613838674383242,237,2127
MACRO,0.6977363615677356,0.05307083953012491,0.3227046151292431,0.07821643339218315,0.5126996741424223,0.16275134723185358,1102,8508
