target,AUC_mean,AP_mean,LL_mean,pos_valid,n_valid
target_1,0.6972723540525075,0.41054061104629785,1.2415189620756657,556,2127
target_2,0.7784771613941887,0.21342037824918028,0.17247462983396286,33,2127
target_3,0.6912407617099792,0.21495474566458564,1.0337448745544067,276,2127
target_4,0.7189776018281318,0.2952458537828337,0.906025632840975,237,2127
MACRO,0.7214919697462019,0.2835403971857244,0.8384410248262526,1102,8508
