fold,users_eval,Hit@1,Hit@3,NDCG@3,NDCG@5
0,204,0.4950980392156863,0.9558823529411765,0.7623548379407837,0.7823459966131421
1,202,0.6138613861386139,0.995049504950495,0.8345805213580835,0.8380198514602913
2,190,0.4842105263157895,0.9578947368421052,0.7592199315218412,0.7773536813354578
3,230,0.5869565217391305,0.9869565217391304,0.8213464133512547,0.8269639336739509
4,213,0.5774647887323944,0.9765258215962441,0.8131939540548895,0.8233037324134198
